id,countryId,type,labelKo,labelLocal,labelEn,sensitivityLevel,aliases,sourceRefs,metadata
cambodia,cambodia,Country,캄보디아,កម្ពុជា,Cambodia,,"[""캄보디아"", ""Cambodia"", ""កម្ពុជា""]","[""jb_ppcbank"", ""jb_group""]","{""priorityForJB"": ""A"", ""relationshipType"": [""overseas_business"", ""ppcbank"", ""khmer_language_marketing""], ""languages"": [""km"", ""en""]}"
vietnam,vietnam,Country,베트남,Việt Nam,Vietnam,,"[""베트남"", ""Vietnam"", ""Việt Nam""]","[""jb_group""]","{""priorityForJB"": ""A"", ""relationshipType"": [""overseas_business"", ""jb_securities_vietnam"", ""domestic_foreign_customer"", ""vietnamese_language_marketing""], ""languages"": [""vi"", ""en""]}"
myanmar,myanmar,Country,미얀마,မြန်မာ,Myanmar,,"[""미얀마"", ""Myanmar"", ""မြန်မာ""]","[""jb_group""]","{""priorityForJB"": ""A-"", ""relationshipType"": [""overseas_business_possible"", ""myanmar_language_marketing"", ""high_political_sensitivity""], ""languages"": [""my"", ""en""]}"
china,china,Country,중국,中国,China,,"[""중국"", ""China"", ""中国""]","[""china_tibet_xinjiang_hk_reuters"", ""china_taiwan_flag_reuters""]","{""priorityForJB"": ""B"", ""relationshipType"": [""domestic_foreign_customer"", ""chinese_language_marketing"", ""high_sovereignty_symbol_sensitivity""], ""languages"": [""zh-CN"", ""zh-TW"", ""en""]}"
thailand,thailand,Country,태국,ประเทศไทย,Thailand,,"[""태국"", ""Thailand"", ""ประเทศไทย""]","[""thailand_lese_majeste_reuters"", ""thailand_lese_majeste_guardian""]","{""priorityForJB"": ""B"", ""relationshipType"": [""domestic_foreign_customer"", ""thai_language_marketing"", ""monarchy_buddhism_sensitivity""], ""languages"": [""th"", ""en""]}"
khm-khmer-rouge-genocide,cambodia,SensitiveEvent,크메르루주 학살·캄보디아 제노사이드,ខ្មែរក្រហម,Khmer Rouge genocide,high,"[""크메르루주 학살·캄보디아 제노사이드"", ""Khmer Rouge genocide"", ""ខ្មែរក្រហម"", ""Khmer Rouge"", ""Killing Fields""]","[""cambodia_genocide"", ""cambodia_memorial_sites_reuters""]","{""dates"": [""04-17"", ""05-20"", ""01-07""], ""eventType"": [""genocide"", ""national_trauma"", ""memorial""], ""reviewPolicy"": ""제노사이드·킬링필드 표현을 금융 혜택·세일·수익률 은유로 사용하는 경우 high/hold""}"
khm-pchum-ben,cambodia,SensitiveEvent,프춤번·조상 추모 기간,បុណ្យភ្ជុំបិណ្ឌ,Pchum Ben / Ancestors' Day,caution,"[""프춤번·조상 추모 기간"", ""Pchum Ben / Ancestors' Day"", ""បុណ្យភ្ជុំបិណ្ឌ"", ""ancestor day"", ""prayers""]","[""cambodia_pchum_ben""]","{""dates"": [""khmer-lunar-10th-month""], ""eventType"": [""ancestor_memorial"", ""buddhist_holiday""], ""reviewPolicy"": ""조상·죽음·영혼 관련 표현을 금융 프로모션으로 희화화하면 hold""}"
khm-national-symbols,cambodia,SensitiveEvent,캄보디아 왕실·불교·앙코르와트 상징,ជាតិ សាសនា ព្រះមហាក្សត្រ,Cambodian national symbols,caution,"[""캄보디아 왕실·불교·앙코르와트 상징"", ""Cambodian national symbols"", ""ជាតិ សាសនា ព្រះមហាក្សត្រ"", ""Nation Religion King"", ""Angkor Wat""]","[""cambodia_national_symbols"", ""cambodia_national_symbols""]","{""dates"": [], ""eventType"": [""national_symbol"", ""monarchy"", ""religion""], ""reviewPolicy"": ""왕실·불교·앙코르와트·국기 상징을 할인·대출 밈으로 쓰는 경우 hold""}"
vnm-reunification-day,vietnam,SensitiveEvent,베트남 통일·해방 기념일,"Ngày Giải phóng miền Nam, thống nhất đất nước",Reunification Day / Liberation Day,caution,"[""베트남 통일·해방 기념일"", ""Reunification Day / Liberation Day"", ""Ngày Giải phóng miền Nam, thống nhất đất nước"", ""Fall of Saigon"", ""Reunification""]","[""vietnam_reunification_day"", ""vietnam_public_holidays""]","{""dates"": [""04-30""], ""eventType"": [""national_day"", ""war_memory"", ""reunification""], ""reviewPolicy"": ""4월30일은 베트남 내에서는 국가 기념일이지만 해외 베트남 디아스포라에는 상반된 기억이 있어 정치적 문맥 주의""}"
vnm-national-day,vietnam,SensitiveEvent,베트남 국경일,Quốc khánh,Vietnam National Day,caution,"[""베트남 국경일"", ""Vietnam National Day"", ""Quốc khánh"", ""Ho Chi Minh"", ""Ba Dinh Square""]","[""vietnam_national_day""]","{""dates"": [""09-02""], ""eventType"": [""national_day"", ""independence""], ""reviewPolicy"": ""국기·호치민·국경일 상징은 존중 맥락만 허용; 금융 프로모션 밈화는 hold""}"
vnm-agent-orange-war,vietnam,SensitiveEvent,베트남전·고엽제 피해,Chất độc da cam,Vietnam War / Agent Orange legacy,high,"[""베트남전·고엽제 피해"", ""Vietnam War / Agent Orange legacy"", ""Chất độc da cam"", ""Agent Orange"", ""napalm""]","[""vietnam_agent_orange""]","{""dates"": [], ""eventType"": [""war_legacy"", ""chemical_harm"", ""victim_memory""], ""reviewPolicy"": ""고엽제·전쟁 피해 표현을 금융 수익·혜택 은유로 사용하면 high/hold""}"
vnm-tet,vietnam,SensitiveEvent,베트남 설·뗏,Tết Nguyên Đán,Tết Lunar New Year,info,"[""베트남 설·뗏"", ""Tết Lunar New Year"", ""Tết Nguyên Đán"", ""family reunion"", ""ancestors""]","[""vietnam_public_holidays""]","{""dates"": [""lunar-new-year""], ""eventType"": [""family_holiday"", ""national_holiday""], ""reviewPolicy"": ""뗏 프로모션은 가능하나 조상·가난·도박·미신 조롱 및 과잉 상업화 주의""}"
vnm-hung-kings,vietnam,SensitiveEvent,흥왕 기일,Giỗ tổ Hùng Vương,Hung Kings Commemoration,caution,"[""흥왕 기일"", ""Hung Kings Commemoration"", ""Giỗ tổ Hùng Vương"", ""Hung Kings"", ""founding ancestors""]","[""vietnam_public_holidays""]","{""dates"": [""lunar-03-10""], ""eventType"": [""ancestral_origin"", ""national_heritage""], ""reviewPolicy"": ""민족 시조·조상 숭배 맥락을 금융 상품 밈으로 쓰면 caution/hold""}"
mmr-2021-coup,myanmar,SensitiveEvent,2021년 미얀마 군부 쿠데타,၂၀၂၁ အာဏာသိမ်း,2021 Myanmar coup,high,"[""2021년 미얀마 군부 쿠데타"", ""2021 Myanmar coup"", ""၂၀၂၁ အာဏာသိမ်း"", ""coup"", ""Tatmadaw""]","[""myanmar_coup_reuters"", ""myanmar_coup_overview""]","{""dates"": [""02-01""], ""eventType"": [""political_crisis"", ""military_coup"", ""civil_disobedience""], ""reviewPolicy"": ""쿠데타·시위 상징을 금융 혜택·이벤트로 소비하거나 정치 편향으로 해석될 표현은 high/hold""}"
